year_month,variety,price_per_lb
2022-01,2 PERCENT,0.691197674014998
2022-02,2 PERCENT,0.6770697670099974
2022-03,2 PERCENT,0.6715116274799975
2022-04,2 PERCENT,0.7000116277599999
2022-05,2 PERCENT,0.7226279067150024
2022-06,2 PERCENT,0.7403197671324966
2022-07,2 PERCENT,0.7316453485200017
2022-08,2 PERCENT,0.7380465114500022
2022-09,2 PERCENT,0.7427558138500013
2022-10,2 PERCENT,0.7535406977249992
2022-11,2 PERCENT,0.7574476745249984
2022-12,2 PERCENT,0.7574476745249984
2023-01,2 PERCENT,0.691197674014998
2023-02,2 PERCENT,0.6770697670099974
2023-03,2 PERCENT,0.6715116274799975
2023-04,2 PERCENT,0.7000116277599999
2023-05,2 PERCENT,0.7226279067150024
2023-06,2 PERCENT,0.7403197671324966
2023-07,2 PERCENT,0.7316453485200017
2023-08,2 PERCENT,0.7380465114500022
2023-09,2 PERCENT,0.7427558138500013
2023-10,2 PERCENT,0.7535406977249992
2023-11,2 PERCENT,0.7574476745249984
2023-12,2 PERCENT,0.7574476745249984
2024-01,2 PERCENT,0.691197674014998
2024-02,2 PERCENT,0.6770697670099974
2024-03,2 PERCENT,0.6715116274799975
2024-04,2 PERCENT,0.7000116277599999
2024-05,2 PERCENT,0.7226279067150024
2024-06,2 PERCENT,0.7403197671324966
2024-07,2 PERCENT,0.7316453485200017
2024-08,2 PERCENT,0.7380465114500022
2024-09,2 PERCENT,0.7427558138500013
2024-10,2 PERCENT,0.7535406977249992
2024-11,2 PERCENT,0.7574476745249984
2024-12,2 PERCENT,0.7574476745249984
2025-01,2 PERCENT,0.691197674014998
2025-02,2 PERCENT,0.6770697670099974
2025-03,2 PERCENT,0.6715116274799975
2025-04,2 PERCENT,0.7000116277599999
2025-05,2 PERCENT,0.7226279067150024
2025-06,2 PERCENT,0.7403197671324966
2025-07,2 PERCENT,0.7316453485200017
2025-08,2 PERCENT,0.7380465114500022
2025-09,2 PERCENT,0.7427558138500013
2025-10,2 PERCENT,0.7535406977249992
2025-11,2 PERCENT,0.7574476745249984
2025-12,2 PERCENT,0.7574476745249984
2026-01,2 PERCENT,0.691197674014998
2026-02,2 PERCENT,0.6770697670099974
2026-03,2 PERCENT,0.6715116274799975
2026-04,2 PERCENT,0.7000116277599999
2026-05,2 PERCENT,0.7226279067150024
2026-06,2 PERCENT,0.7403197671324966
2026-07,2 PERCENT,0.7316453485200017
2026-08,2 PERCENT,0.7380465114500022
2026-09,2 PERCENT,0.7427558138500013
2026-10,2 PERCENT,0.7535406977249992
2026-11,2 PERCENT,0.7574476745249984
2026-12,2 PERCENT,0.7574476745249984
