year_month,variety,price_per_lb
2023-01,FUJI,1.1851102941176472
2023-01,HONEYCRISP,1.5844618055555555
2023-01,RED DELICIOUS,1.0984848484848484
2023-02,FUJI,1.2825
2023-02,HONEYCRISP,1.8885416666666668
2023-02,RED DELICIOUS,1.0520833333333333
2023-03,FUJI,1.1765322580645161
2023-03,HONEYCRISP,1.885140306122449
2023-03,RED DELICIOUS,1.0846920289855073
2023-04,FUJI,1.1651785714285714
2023-04,HONEYCRISP,1.8843750000000001
2023-04,RED DELICIOUS,1.0895833333333333
2023-05,FUJI,1.1599409448818898
2023-05,HONEYCRISP,1.8288306451612903
2023-05,RED DELICIOUS,1.0229301948051948
2023-06,FUJI,1.0775462962962963
2023-06,HONEYCRISP,1.8462837837837838
2023-06,RED DELICIOUS,1.032913306451613
2023-07,FUJI,1.0660326086956522
2023-07,HONEYCRISP,1.8894489247311828
2023-07,RED DELICIOUS,1.0194907407407408
2023-08,FUJI,1.0693548387096774
2023-08,HONEYCRISP,1.9679166666666668
2023-08,RED DELICIOUS,1.0562500000000001
2023-09,FUJI,1.146875
2023-09,HONEYCRISP,1.48625
2023-09,RED DELICIOUS,1.0770089285714286
2023-10,FUJI,1.121875
2023-10,HONEYCRISP,1.5474431818181817
2023-10,RED DELICIOUS,1.1055232558139534
2023-11,FUJI,1.131902985074627
2023-11,HONEYCRISP,1.2486177884615384
2023-11,RED DELICIOUS,1.0404983108108108
2023-12,FUJI,1.0925
2023-12,HONEYCRISP,1.13125
2023-12,RED DELICIOUS,0.9847222222222223
