year_month,variety,price_per_lb
2024-01,FUJI,1.2064515764221162
2024-01,HONEYCRISP,1.6957529634753765
2024-01,RED DELICIOUS,1.0856796145330143
2024-02,FUJI,1.2458944073044789
2024-02,HONEYCRISP,1.8189053072253758
2024-02,RED DELICIOUS,1.0668870008966445
2024-03,FUJI,1.2004570174291735
2024-03,HONEYCRISP,1.8806311256777581
2024-03,RED DELICIOUS,1.0774742044539556
2024-04,FUJI,1.1700676739606208
2024-04,HONEYCRISP,1.8806160966811445
2024-04,RED DELICIOUS,1.0822253363683
2024-05,FUJI,1.1535078173363735
2024-05,HONEYCRISP,1.8455673299152835
2024-05,RED DELICIOUS,1.0411190322668176
2024-06,FUJI,1.0974583479077271
2024-06,HONEYCRISP,1.8473990248426033
2024-06,RED DELICIOUS,1.030971716481296
2024-07,FUJI,1.071705145099616
2024-07,HONEYCRISP,1.8833069933340503
2024-07,RED DELICIOUS,1.0260068401832318
2024-08,FUJI,1.0735720725546691
2024-08,HONEYCRISP,1.914213355286174
2024-08,RED DELICIOUS,1.0479480575097877
2024-09,FUJI,1.1250808966868002
2024-09,HONEYCRISP,1.608433844679346
2024-09,RED DELICIOUS,1.0725799397274154
2024-10,FUJI,1.1281949296840634
2024-10,HONEYCRISP,1.5095236505094416
2024-10,RED DELICIOUS,1.0906072022396205
2024-11,FUJI,1.1263858924609087
2024-11,HONEYCRISP,1.3226276441720328
2024-11,RED DELICIOUS,1.0524111664639073
2024-12,FUJI,1.105310356080305
2024-12,HONEYCRISP,1.2047944929482561
2024-12,RED DELICIOUS,1.0093087970159702
2025-01,FUJI,1.2064515764221162
2025-01,HONEYCRISP,1.6957529634753765
2025-01,RED DELICIOUS,1.0856796145330143
2025-02,FUJI,1.2458944073044789
2025-02,HONEYCRISP,1.8189053072253758
2025-02,RED DELICIOUS,1.0668870008966445
2025-03,FUJI,1.2004570174291735
2025-03,HONEYCRISP,1.8806311256777581
2025-03,RED DELICIOUS,1.0774742044539556
2025-04,FUJI,1.1700676739606208
2025-04,HONEYCRISP,1.8806160966811445
2025-04,RED DELICIOUS,1.0822253363683
2025-05,FUJI,1.1535078173363735
2025-05,HONEYCRISP,1.8455673299152835
2025-05,RED DELICIOUS,1.0411190322668176
2025-06,FUJI,1.0974583479077271
2025-06,HONEYCRISP,1.8473990248426033
2025-06,RED DELICIOUS,1.030971716481296
2025-07,FUJI,1.071705145099616
2025-07,HONEYCRISP,1.8833069933340503
2025-07,RED DELICIOUS,1.0260068401832318
2025-08,FUJI,1.0735720725546691
2025-08,HONEYCRISP,1.914213355286174
2025-08,RED DELICIOUS,1.0479480575097877
2025-09,FUJI,1.1250808966868002
2025-09,HONEYCRISP,1.608433844679346
2025-09,RED DELICIOUS,1.0725799397274154
2025-10,FUJI,1.1281949296840634
2025-10,HONEYCRISP,1.5095236505094416
2025-10,RED DELICIOUS,1.0906072022396205
2025-11,FUJI,1.1263858924609087
