farmer_id,acres,annual_production_lbs,variety
1,12.0,345600.0,FRESH APPLES
2,24.0,691200.0,FRESH APPLES
3,250.0,7200000.0,FRESH APPLES
4,400.0,11520000.0,FRESH APPLES
5,15.0,432000.0,FRESH APPLES
6,8.0,230400.0,FRESH APPLES
7,100.0,2880000.0,FRESH APPLES
8,80.0,2304000.0,FRESH APPLES
9,15.0,432000.0,FRESH APPLES
10,0.0,0.0,FRESH APPLES
11,20.0,576000.0,FRESH APPLES
12,80.0,2304000.0,FRESH APPLES
13,95.0,2736000.0,FRESH APPLES
14,2.0,57600.0,FRESH APPLES
15,1.0,28800.0,FRESH APPLES
16,250.0,7200000.0,FRESH APPLES
17,70.0,2016000.0,FRESH APPLES
18,200.0,5760000.0,FRESH APPLES
19,55.0,1584000.0,FRESH APPLES
20,7.0,201600.0,FRESH APPLES
21,0.0,0.0,FRESH APPLES
22,2.75,79200.0,FRESH APPLES
23,10.0,288000.0,FRESH APPLES
24,45.0,1296000.0,FRESH APPLES
25,12.0,345600.0,FRESH APPLES
26,0.0,0.0,FRESH APPLES
27,225.0,6480000.0,FRESH APPLES
28,8.0,230400.0,FRESH APPLES
29,70.0,2016000.0,FRESH APPLES
30,5.0,144000.0,FRESH APPLES
31,3.5,100800.0,FRESH APPLES
32,21.0,604800.0,FRESH APPLES
33,4.0,115200.0,FRESH APPLES
34,5.0,144000.0,FRESH APPLES
35,15.0,432000.0,FRESH APPLES
36,25.0,720000.0,FRESH APPLES
37,0.0,0.0,FRESH APPLES
38,20.0,576000.0,FRESH APPLES
