year_month,variety,price_per_lb
2024-01,ROMA,0.8566402383112955
2024-01,VINE RIPES,0.7371075891724966
2024-02,ROMA,0.7801338097398662
2024-02,VINE RIPES,0.6963651594125012
2024-03,ROMA,0.7414846671490001
2024-03,VINE RIPES,0.6359366142275055
2024-04,ROMA,0.7117864130459353
2024-04,VINE RIPES,0.601501922250004
2024-05,ROMA,0.7452216757235824
2024-05,VINE RIPES,0.6898546939775008
2024-06,ROMA,0.8078273974634638
2024-06,VINE RIPES,0.8060541008475
2024-07,ROMA,0.8592529256381246
2024-07,VINE RIPES,0.8118716665775021
2024-08,ROMA,0.9192220353349427
2024-08,VINE RIPES,0.7137348066924997
2024-09,ROMA,0.9315462263849729
2024-09,VINE RIPES,0.6700214687849981
2024-10,ROMA,0.9049999585768523
2024-10,VINE RIPES,0.7047736084400004
2024-11,ROMA,0.9907009286301808
2024-11,VINE RIPES,0.7618375045275009
2024-12,ROMA,1.1153097832993468
2024-12,VINE RIPES,0.8457970844099969
2025-01,ROMA,0.8566402383112955
2025-01,VINE RIPES,0.7371075891724966
2025-02,ROMA,0.7801338097398662
2025-02,VINE RIPES,0.6963651594125012
2025-03,ROMA,0.7414846671490001
2025-03,VINE RIPES,0.6359366142275055
2025-04,ROMA,0.7117864130459353
2025-04,VINE RIPES,0.601501922250004
2025-05,ROMA,0.7452216757235824
2025-05,VINE RIPES,0.6898546939775008
2025-06,ROMA,0.8078273974634638
2025-06,VINE RIPES,0.8060541008475
2025-07,ROMA,0.8592529256381246
2025-07,VINE RIPES,0.8118716665775021
2025-08,ROMA,0.9192220353349427
2025-08,VINE RIPES,0.7137348066924997
2025-09,ROMA,0.9315462263849729
2025-09,VINE RIPES,0.6700214687849981
2025-10,ROMA,0.9049999585768523
2025-10,VINE RIPES,0.7047736084400004
2025-11,ROMA,0.9907009286301808
2025-11,VINE RIPES,0.7618375045275009
2025-12,ROMA,1.1153097832993468
2025-12,VINE RIPES,0.8457970844099969
2026-01,ROMA,0.8566402383112955
2026-01,VINE RIPES,0.7371075891724966
2026-02,ROMA,0.7801338097398662
2026-02,VINE RIPES,0.6963651594125012
2026-03,ROMA,0.7414846671490001
2026-03,VINE RIPES,0.6359366142275055
2026-04,ROMA,0.7117864130459353
2026-04,VINE RIPES,0.601501922250004
2026-05,ROMA,0.7452216757235824
2026-05,VINE RIPES,0.6898546939775008
2026-06,ROMA,0.8078273974634638
2026-06,VINE RIPES,0.8060541008475
2026-07,ROMA,0.8592529256381246
2026-07,VINE RIPES,0.8118716665775021
2026-08,ROMA,0.9192220353349427
2026-08,VINE RIPES,0.7137348066924997
2026-09,ROMA,0.9315462263849729
2026-09,VINE RIPES,0.6700214687849981
2026-10,ROMA,0.9049999585768523
2026-10,VINE RIPES,0.7047736084400004
2026-11,ROMA,0.9907009286301808
2026-11,VINE RIPES,0.7618375045275009
2026-12,ROMA,1.1153097832993468
2026-12,VINE RIPES,0.8457970844099969
2027-01,ROMA,0.8566402383112955
2027-01,VINE RIPES,0.7371075891724966
2027-02,ROMA,0.7801338097398662
2027-02,VINE RIPES,0.6963651594125012
2027-03,ROMA,0.7414846671490001
2027-03,VINE RIPES,0.6359366142275055
2027-04,ROMA,0.7117864130459353
2027-04,VINE RIPES,0.601501922250004
2027-05,ROMA,0.7452216757235824
2027-05,VINE RIPES,0.6898546939775008
2027-06,ROMA,0.8078273974634638
2027-06,VINE RIPES,0.8060541008475
2027-07,ROMA,0.8592529256381246
2027-07,VINE RIPES,0.8118716665775021
2027-08,ROMA,0.9192220353349427
2027-08,VINE RIPES,0.7137348066924997
2027-09,ROMA,0.9315462263849729
2027-09,VINE RIPES,0.6700214687849981
2027-10,ROMA,0.9049999585768523
2027-10,VINE RIPES,0.7047736084400004
2027-11,ROMA,0.9907009286301808
2027-11,VINE RIPES,0.7618375045275009
2027-12,ROMA,1.1153097832993468
2027-12,VINE RIPES,0.8457970844099969
2028-01,ROMA,0.8566402383112955
2028-01,VINE RIPES,0.7371075891724966
2028-02,ROMA,0.7801338097398662
2028-02,VINE RIPES,0.6963651594125012
2028-03,ROMA,0.7414846671490001
2028-03,VINE RIPES,0.6359366142275055
2028-04,ROMA,0.7117864130459353
2028-04,VINE RIPES,0.601501922250004
2028-05,ROMA,0.7452216757235824
2028-05,VINE RIPES,0.6898546939775008
2028-06,ROMA,0.8078273974634638
2028-06,VINE RIPES,0.8060541008475
2028-07,ROMA,0.8592529256381246
2028-07,VINE RIPES,0.8118716665775021
2028-08,ROMA,0.9192220353349427
2028-08,VINE RIPES,0.7137348066924997
2028-09,ROMA,0.9315462263849729
2028-09,VINE RIPES,0.6700214687849981
2028-10,ROMA,0.9049999585768523
2028-10,VINE RIPES,0.7047736084400004
2028-11,ROMA,0.9907009286301808
2028-11,VINE RIPES,0.7618375045275009
2028-12,ROMA,1.1153097832993468
2028-12,VINE RIPES,0.8457970844099969
