year_month,variety,price_per_bu
2024-01,SOFT RED WINTER,7.536721122338233
2024-02,SOFT RED WINTER,7.603685213247324
2024-03,SOFT RED WINTER,7.160038995188481
2024-04,SOFT RED WINTER,6.7652853527979255
2024-05,SOFT RED WINTER,6.323691189197678
2024-06,SOFT RED WINTER,6.415970487061908
2024-07,SOFT RED WINTER,6.475217917026736
2024-08,SOFT RED WINTER,6.379837451941265
2024-09,SOFT RED WINTER,6.238966703756137
2024-10,SOFT RED WINTER,6.144740855633446
2024-11,SOFT RED WINTER,6.037916909379138
2024-12,SOFT RED WINTER,6.077937807244967
2025-01,SOFT RED WINTER,7.536721122338233
2025-02,SOFT RED WINTER,7.603685213247324
2025-03,SOFT RED WINTER,7.160038995188481
2025-04,SOFT RED WINTER,6.7652853527979255
2025-05,SOFT RED WINTER,6.323691189197678
2025-06,SOFT RED WINTER,6.415970487061908
2025-07,SOFT RED WINTER,6.475217917026736
2025-08,SOFT RED WINTER,6.379837451941265
2025-09,SOFT RED WINTER,6.238966703756137
2025-10,SOFT RED WINTER,6.144740855633446
2025-11,SOFT RED WINTER,6.037916909379138
2025-12,SOFT RED WINTER,6.077937807244967
2026-01,SOFT RED WINTER,7.536721122338233
2026-02,SOFT RED WINTER,7.603685213247324
2026-03,SOFT RED WINTER,7.160038995188481
2026-04,SOFT RED WINTER,6.7652853527979255
2026-05,SOFT RED WINTER,6.323691189197678
2026-06,SOFT RED WINTER,6.415970487061908
2026-07,SOFT RED WINTER,6.475217917026736
2026-08,SOFT RED WINTER,6.379837451941265
2026-09,SOFT RED WINTER,6.238966703756137
2026-10,SOFT RED WINTER,6.144740855633446
2026-11,SOFT RED WINTER,6.037916909379138
2026-12,SOFT RED WINTER,6.077937807244967
2027-01,SOFT RED WINTER,7.536721122338233
2027-02,SOFT RED WINTER,7.603685213247324
2027-03,SOFT RED WINTER,7.160038995188481
2027-04,SOFT RED WINTER,6.7652853527979255
2027-05,SOFT RED WINTER,6.323691189197678
2027-06,SOFT RED WINTER,6.415970487061908
2027-07,SOFT RED WINTER,6.475217917026736
2027-08,SOFT RED WINTER,6.379837451941265
2027-09,SOFT RED WINTER,6.238966703756137
2027-10,SOFT RED WINTER,6.144740855633446
2027-11,SOFT RED WINTER,6.037916909379138
2027-12,SOFT RED WINTER,6.077937807244967
2028-01,SOFT RED WINTER,7.536721122338233
2028-02,SOFT RED WINTER,7.603685213247324
2028-03,SOFT RED WINTER,7.160038995188481
2028-04,SOFT RED WINTER,6.7652853527979255
2028-05,SOFT RED WINTER,6.323691189197678
2028-06,SOFT RED WINTER,6.415970487061908
2028-07,SOFT RED WINTER,6.475217917026736
2028-08,SOFT RED WINTER,6.379837451941265
2028-09,SOFT RED WINTER,6.238966703756137
2028-10,SOFT RED WINTER,6.144740855633446
2028-11,SOFT RED WINTER,6.037916909379138
2028-12,SOFT RED WINTER,6.077937807244967
