iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,71,129.89636133555922,460,79,490
2,136,256.97519633522734,349,125,590
3,256,504.051009063554,349,5,690
4,315,631.519964086806,418,117,670
5,425,878.5737214351144,418,7,770
6,479,1000.6627511262075,267,104,870
7,583,1233.652858213259,267,0,970
8,639,1357.2420433841535,521,110,860
9,749,1598.8916232578845,521,0,960
10,806,1723.692687573152,351,113,1060
11,919,1971.0328985761482,351,0,1160
12,978,2098.683545901268,415,117,1140
13,1095,2345.6881919053217,415,0,1240
14,1155,2473.223518654133,317,118,1300
15,1273,2727.551332189207,317,0,1400
16,1330,2852.1911982648344,431,109,1360
17,1439,3094.9215613721535,431,0,1460
18,1494,3217.2167108252447,267,109,1560
19,1603,3457.5036839495197,267,0,1660
20,1660,3581.5278678358304,519,111,1550
21,1771,3822.386871407882,519,0,1650
22,1829,3948.411770784882,347,114,1750
23,1943,4197.229654280169,347,0,1850
24,2002,4324.742148512658,431,117,1820
25,2119,4572.573596387487,431,0,1920
26,2178,4699.818312896529,259,113,2020
27,2290,4946.546460741714,259,1,2120
28,2345,5070.225206548311,516,109,2010
29,2451,5314.172762364375,516,3,2110
30,2505,5438.276235600454,359,106,2210
31,2611,5678.379139525966,359,0,2310
32,2666,5800.236456423763,335,109,2340
33,2775,6038.402975046689,335,0,2440
34,2834,6165.621130361893,459,117,2390
35,2951,6416.131585558764,459,0,2490
36,3011,6543.8832034623665,281,118,2590
37,3129,6792.478983829221,281,0,2690
38,3188,6919.1902542837515,545,117,2570
39,3302,7168.633874184661,545,3,2670
40,3357,7291.645893959263,384,109,2770
41,3465,7535.910841342994,384,1,2870
42,3520,7658.5713396811525,281,109,2940
43,3629,7898.759609701374,281,0,3040
44,3686,8023.350179269832,511,113,2940
45,3799,8268.299377560834,511,0,3040
46,3858,8395.609219392178,333,119,3140
47,3972,8644.251545001647,333,5,3240
48,4030,8770.208606786251,426,114,3210
49,4144,9015.199797484469,426,0,3310
50,4201,9140.130004125976,256,113,3410
51,4311,9385.803880792188,256,3,3510
52,4365,9509.451101331153,481,104,3420
53,4469,9751.098971812537,481,0,3520
54,4523,9875.16841454522,317,110,3620
55,4631,10119.371043113544,317,2,3720
56,4686,10241.68378772376,415,109,3690
57,4795,10480.926996764108,415,0,3790
58,4852,10605.415097047182,265,113,3880
59,4965,10853.47866505355,265,0,3980
60,5022,10978.43823671702,535,113,3860
