iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,26760,39837.25276043144,341750,0,73859
2,70237,96101.67929415697,359333,0,282266
3,132538,170172.8180206616,395032,0,472199
4,215038,263658.594522365,450932,0,641936
5,319486,378928.1620265796,528924,0,789650
6,448431,519241.83355149644,630239,0,913458
7,605478,688876.8960121673,757132,0,1010418
8,795358,893208.0091386914,912812,0,1076576
9,1023948,1138800.2095992293,1101562,0,1106840
10,1262948,1395497.7353055004,1329165,35477,1094737
11,1501948,1652838.8063082304,1642316,81846,1034410
12,1739948,1912280.386393879,1967836,123706,970657
13,1978948,2175569.253717971,2294935,164387,906201
14,2217948,2441125.773927827,2621512,207330,840879
15,2456948,2708168.375860928,2955447,251955,771036
16,2694948,2976003.277895406,3287727,296695,702459
17,2933948,3246448.091518789,3623266,340176,632386
18,3172948,3517848.457099775,3958318,385964,561400
19,3410948,3788563.2871018965,3672470,433812,800338
20,3649948,4060633.0894203316,3387326,479956,1039268
21,3888948,4332799.217602868,3100729,527553,1278206
22,4127948,4604763.188837707,2813503,575779,1517140
23,4365948,4875388.824760345,2526278,625004,1756077
24,4604948,5147541.909188802,2241496,670786,1995010
25,4843948,5420137.870279915,1955626,717656,2233947
26,5082948,5693412.1380836,1670246,764036,2472881
27,5320948,5966099.457253438,1384614,811668,2711819
28,5559948,6240329.218734598,1099840,857442,2950756
29,5798948,6514578.948703471,971306,746976,3189689
30,6037948,6788776.4655253375,971306,507976,3428626
31,6275948,7059422.109659373,971306,269976,3667560
32,6514948,7329046.287203236,971306,30976,3906498
33,6753948,7597185.067917302,906360,238162,3954808
34,6992948,7864411.642509167,760920,237362,4147366
35,7230948,8132130.434097275,911350,239412,4191060
36,7469948,8402835.152548544,911350,412,4429997
37,7708948,8674912.69522945,994638,237604,4389190
38,7946948,8946709.303275205,754330,239912,4628127
39,8185948,9220139.50451377,754330,912,4867061
40,8424948,9493168.73487629,1153094,238088,4668529
41,8663948,9765716.925664727,913982,238200,4907466
42,8901948,1.0036204126078863E7,759226,239856,5103949
43,9140948,1.030694816436616E7,759226,856,5342886
44,9379948,1.0577070952769566E7,1145198,237324,5151100
45,9618948,1.0846519516804378E7,906112,237410,5390038
46,9856948,1.1114364135413194E7,768974,240128,5577178
47,10095948,1.1383031830412379E7,768974,1128,5816116
48,10334948,1.1651653864659475E7,1141898,239004,5630150
49,10573948,1.1920216857473964E7,902422,239480,5869087
50,10811948,1.218761239565092E7,902422,1480,6108020
51,11050948,1.2456105229539441E7,1013108,240254,6052727
52,11289948,1.2724301519610636E7,1013108,1254,6291661
53,11527948,1.2991031449709827E7,889288,237914,6355179
54,11766948,1.3258628488093976E7,783550,238692,6527096
55,12005948,1.3526436767037602E7,891262,239380,6592329
56,12244948,1.3795292535888067E7,891262,380,6831266
57,12482948,1.406391567040623E7,1019862,239880,6767150
58,12721948,1.4334255633155756E7,1019862,880,7006088
59,12960948,1.46049471126331E7,889562,238580,7071818
60,13199948,1.4875840657190252E7,783796,238986,7243936
61,13437948,1.5145181942426657E7,783796,986,7482870
62,13676948,1.5415227876327358E7,1122228,237754,7314707
63,13915948,1.5684972146246396E7,882948,238034,7553640
64,14154948,1.5951584426174693E7,784748,237434,7722477
65,14392948,1.622103537289309E7,883562,238440,7792501
66,14631948,1.6495746754575899E7,790670,239172,7958019
67,14870948,1.6774043079642579E7,790670,172,8196956
68,15109948,1.7054739943235226E7,1121352,239050,8031609
69,15347948,1.7335703767191764E7,1121352,1050,8270546
70,15586948,1.761815753297197E7,787454,238468,8438220
71,15825948,1.789916025935675E7,887614,239388,8507118
72,16063948,1.8177631400103584E7,887614,1388,8746048
73,16302948,1.84555602470457E7,1023398,239104,8678736
74,16541948,1.8732215713814612E7,783484,240018,8917670
75,16780948,1.9008209460707024E7,783484,1018,9156607
76,17018948,1.9282705511957835E7,1124442,239240,8986950
77,17257948,1.9558212941341624E7,1124442,240,9225887
78,17496948,1.983339746144424E7,791206,239976,9392071
79,17735948,2.010832222354578E7,791206,976,9631009
80,17973948,2.0380597686082575E7,1119708,239974,9467196
81,18212948,2.065318086862029E7,1119708,974,9706129
82,18451948,2.092530207921311E7,789656,238586,9871786
83,18690534,2.1197001067027315E7,789656,0,10110720
84,18928534,2.1468171919475347E7,1120318,239498,9945578
85,19167534,2.1740527460594505E7,1120318,498,10184508
86,19406534,2.201262457409663E7,792968,239448,10348146
87,19644534,2.2282894621652942E7,792968,1448,10587080
88,19883534,2.2553637769858874E7,1113784,238052,10427807
89,20122534,2.2823922158554602E7,874646,238190,10666740
90,20361534,2.3094487107890513E7,797316,238540,10824667
91,20599534,2.336450012680533E7,877798,240418,10903421
92,20838534,2.3636143273425415E7,877798,1418,11142359
93,21077534,2.390688519342388E7,1019128,235588,11074046
94,21316534,2.4176717059750896E7,777660,238056,11312979
95,21554534,2.4445553901496947E7,894722,239614,11373606
96,21793534,2.4715815903279647E7,894722,614,11612540
97,22032534,2.498552448412969E7,1013552,238224,11553758
98,22271534,2.5254372842030454E7,774256,238520,11792688
99,22509534,2.5521746434320744E7,774256,520,12031626
100,22748534,2.579055328561676E7,1132736,237880,11853140
101,22987534,2.6059704792017285E7,892286,239330,12092077
102,23226534,2.632910190330897E7,892286,330,12331010
103,23464534,2.659751642462074E7,1019216,239960,12267667
104,23703534,2.6867164412483975E7,1019216,960,12506601
105,23942534,2.713805883839338E7,892198,239098,12570479
106,24180534,2.740884225740683E7,892198,1098,12809416
107,24419534,2.768096099425169E7,1018326,238910,12746879
108,24658444,2.7957362830272507E7,1018326,0,12985816
109,24897444,2.824208550480386E7,887346,237420,13052030
110,25135444,2.8532119227904998E7,784056,239210,13222718
111,25374444,2.8827545380042918E7,784056,210,13461648
112,25613444,2.9125807581160363E7,1121804,237522,13293556
113,25852444,2.942578317694971E7,881284,239042,13532490
114,26090444,2.9725452641361833E7,881284,1042,13771427
115,26329444,3.0026874781868175E7,1031266,239400,13696690
116,26568444,3.0328550461403564E7,1031266,400,13935627
117,26807444,3.0630390155479617E7,879604,238822,14011681
118,27045444,3.0933855424382847E7,879604,822,14250619
119,27284444,3.1240607347177487E7,1022606,236760,14180586
120,27523444,3.154860253117042E7,782460,237906,14419519
121,27761444,3.1856041156670183E7,891962,240084,14483616
122,28000444,3.216481282402274E7,891962,1084,14722550
123,28239444,3.2473477176098786E7,1020498,239388,14658568
124,28478444,3.2782637536533672E7,1020498,388,14897498
125,28716444,3.3090999468933135E7,887938,239208,14964306
126,28955444,3.3401005883610744E7,887938,208,15203240
127,29194444,3.3711272780131176E7,1020036,238050,15137707
128,29433444,3.402170730262457E7,780310,238776,15376640
129,29671444,3.433090544471129E7,780310,776,15615577
130,29910444,3.464181779568133E7,1128024,238282,15442401
131,30149444,3.495330905868186E7,889586,237720,15681339
132,30388444,3.52652772091085E7,782508,238458,15853946
133,30626444,3.557626096630274E7,889376,239590,15919879
134,30865444,3.588874596429117E7,889376,590,16158816
135,31104444,3.620133905074656E7,1017578,237888,16095500
136,31343444,3.651399661277889E7,778778,237688,16334438
137,31581444,3.682539855887066E7,893414,239472,16396158
138,31820444,3.7138144096286915E7,893414,472,16635096
139,32059444,3.7450677213782564E7,1019144,239262,16572270
140,32297444,3.776170522369761E7,1019144,1262,16811207
141,32536444,3.807419218266606E7,895280,239926,16873240
142,32775444,3.8386854920174636E7,895280,926,17112177
143,33014444,3.869958562645677E7,1015674,238972,17052391
144,33252444,3.901041818085551E7,1015674,972,17291329
145,33491444,3.932201067801548E7,891696,238090,17354196
146,33730444,3.9633160114681676E7,775484,237322,17532119
147,33969444,3.9944016190348245E7,899746,239140,17588516
148,34207444,4.025376888281016E7,777138,241008,17768820
149,34446444,4.0565042247891515E7,777138,2008,18007758
150,34685444,4.0876481183652066E7,1129678,238208,17832818
151,34924444,4.118805986481832E7,888124,240762,18071756
152,35162444,4.149180265217526E7,888124,2762,18310690
153,35401444,4.1797506716868706E7,1022114,239252,18244887
154,35640444,4.210515178968155E7,1022114,252,18483820
155,35878444,4.2412510270458035E7,888104,239622,18551077
156,36117444,4.272167924462301E7,888104,622,18790011
157,36356444,4.303111985562991E7,1022546,238820,18723129
158,36595264,4.334477318958572E7,1022546,0,18962066
159,36833264,4.366121394091173E7,888356,239730,19029229
160,37072264,4.398112300796206E7,888356,730,19268166
161,37311264,4.429776145125403E7,1023978,239268,19200520
162,37550264,4.4609475604305126E7,1023978,268,19439458
163,37788264,4.4916139180899024E7,891840,241026,19505078
164,38027264,4.522158986149378E7,891840,2026,19744016
165,38266264,4.552482460212441E7,1015950,238456,19683180
166,38505264,4.582272458343816E7,776828,238578,19922117
167,38743264,4.611504234613817E7,776828,578,20161050
168,38982264,4.641195382019584E7,1130936,238090,19984677
169,39221264,4.671274850000457E7,891526,238500,20223611
170,39460264,4.701662727629856E7,779116,238290,20399359
171,39698264,4.732027268368841E7,779116,290,20638296
172,39937264,4.762566398873796E7,1133064,239122,20461339
173,40176264,4.793234475586871E7,1133064,122,20700276
174,40414264,4.823635081689079E7,778758,239988,20877430
175,40653264,4.853911871806117E7,778758,988,21116368
176,40892264,4.883990989842869E7,1128486,238060,20942398
177,41131264,4.9138379633650646E7,888822,238724,21181336
178,41369264,4.9433895983597346E7,786590,240536,21351480
179,41608264,4.972956259491151E7,786590,1536,21590417
180,41847264,5.002392324835155E7,1121418,238388,21424010
181,42085652,5.031604654784064E7,1121418,0,21662947
182,42323652,5.0605060256288856E7,784962,238596,21831811
183,42562652,5.08928889222076E7,885606,238292,21901079
184,42801652,5.117908762934624E7,783488,237850,22071796
185,43040652,5.146464771084263E7,883920,237318,22141279
186,43278652,5.174860932678116E7,795366,241152,22303576
187,43517652,5.203255473022244E7,795366,2152,22542510
188,43756652,5.231753129080151E7,1108878,237600,22387468
189,43994652,5.260169686453341E7,867532,240946,22626398
190,44233652,5.288704212086472E7,867532,1946,22865336
191,44472652,5.316931910961834E7,1041748,238810,22779230
192,44711462,5.3448769254698515E7,1041748,0,23018167
193,44949462,5.372577674008688E7,862150,237978,23108910
194,45188462,5.400221755219862E7,808138,238070,23255307
195,45427462,5.427744574258891E7,862220,238108,23347681
196,45666462,5.4552303325960144E7,810530,238718,23492659
197,45904462,5.482598390868203E7,810530,718,23731596
198,46143462,5.510101007372239E7,1100122,238846,23587169
199,46382308,5.5378092365177184E7,1100122,0,23826106
200,46621308,5.5657308637862906E7,814966,239776,23968230
201,46859308,5.5937188773963585E7,814966,1776,24207168
202,47098308,5.621923328164744E7,1092380,238282,24069638
203,47337308,5.650180523422925E7,852524,239138,24308576
204,47576308,5.678429489539784E7,852524,138,24547510
205,47814308,5.706540360752222E7,1054732,238850,24446987
206,48053158,5.734735658631912E7,1054732,0,24685920
207,48292158,5.762939350135824E7,853748,238124,24786787
208,48530158,5.791019956305316E7,813922,238450,24926471
209,48769158,5.81931822103298E7,856748,238284,25024579
210,49008158,5.8476421276343085E7,819882,239730,25161726
211,49247158,5.875969521690582E7,819882,730,25400659
212,49485158,5.904218152254805E7,1090094,239678,25266016
213,49724158,5.932581300987329E7,1090094,678,25504950
214,49963158,5.960921470777198E7,818620,238352,25641288
215,50202158,5.989227319089122E7,851942,238230,25744118
216,50440158,6.017350512490048E7,851942,230,25983056
217,50679158,6.045491411391184E7,1063862,240010,25876640
218,50918158,6.073538677349444E7,1063862,1010,26115577
219,51157158,6.101505745392875E7,845960,238712,26225110
220,51395158,6.129298361192908E7,830272,240740,26351877
221,51634158,6.1571841598431714E7,830272,1740,26590811
222,51873158,6.185061255324243E7,1075494,237878,26469569
223,52111158,6.212813890244385E7,835668,239704,26708506
224,52350158,6.2406698626364544E7,835668,704,26947439
225,52589158,6.2685152173846744E7,1075454,238958,26827856
226,52828158,6.296325227659167E7,834346,241066,27066790
227,53066158,6.323989391508039E7,834346,3066,27305728
228,53305158,6.351499657931165E7,1074844,239068,27186908
229,53544158,6.3793574752567776E7,834920,239992,27425846
230,53783158,6.4075792325449854E7,834920,992,27664780
231,54021158,6.4359306526638895E7,1067658,237894,27549897
232,54259052,6.464393294419315E7,1067658,0,27788830
233,54498052,6.493053912521935E7,843792,238866,27900767
234,54736918,6.521724842641997E7,843792,0,28139701
235,54974918,6.55028747518129E7,1066000,239452,28028809
236,55213918,6.579168019202251E7,1066000,452,28267746
237,55452918,6.608221150960636E7,850300,240192,28375159
238,55691918,6.637390745831766E7,850300,1192,28614096
239,55929918,6.6665070792979725E7,1061966,240366,28508610
240,56168918,6.695782837186303E7,1061966,1366,28747548
241,56407918,6.725076831214675E7,847982,238830,28855238
242,56645918,6.754261854834497E7,830294,241278,28982796
243,56884918,6.78365069938803E7,830294,2278,29221730
244,57123918,6.813106333266184E7,1071108,236924,29103437
245,57362918,6.842605663353895E7,829792,239240,29342370
246,57600918,6.872013682719062E7,829792,1240,29581307
247,57839918,6.90144309198272E7,1074712,237440,29460181
248,58078918,6.930796731980318E7,835310,237842,29699119
249,58317918,6.960104955221662E7,836594,238438,29817616
250,58555918,6.989344720243281E7,836594,438,30056549
251,58794918,7.01881795997069E7,1076250,239322,29936716
252,59033918,7.048118175212607E7,1076250,322,30175650
253,59272918,7.077287430494872E7,829252,237460,30300018
254,59510918,7.10638538346659E7,837176,237976,30415728
255,59749918,7.135750088483308E7,839218,239594,30533336
256,59988918,7.165234345616238E7,839218,594,30772270
257,60226918,7.194553063872926E7,1066430,238562,30659617
258,60465918,7.22396553175273E7,827468,238524,30898550
259,60704442,7.253302637000886E7,827468,0,31137487
260,60943442,7.28277252881188E7,1083070,238638,31009801
261,61181442,7.312292895665969E7,1083070,638,31248739
262,61420442,7.342126126766808E7,822718,237610,31379866
263,61659442,7.372096737326103E7,851172,238876,31484439
264,61898318,7.402138040890194E7,851172,0,31723376
265,62136318,7.4321194835945E7,1058670,239462,31619830
266,62375318,7.462478873772898E7,1058670,462,31858768
267,62614318,7.493281590348509E7,850678,238454,31963198
268,62852772,7.5243502494583E7,850678,0,32202136
269,63090772,7.555622079022564E7,1058372,239266,32098590
270,63329772,7.587195530480252E7,1058372,266,32337527
271,63568772,7.61886684172938E7,851102,238436,32441510
272,63807772,7.650605225235793E7,825496,239762,32573087
273,64045772,7.68223636705761E7,825496,1762,32812021
274,64284772,7.71401031800311E7,1086594,239464,32682059
275,64523772,7.74578385387667E7,1086594,464,32920996
276,64761772,7.777387473861934E7,819802,238716,33055199
277,65000488,7.80905123768146E7,819802,0,33294136
278,65239488,7.840733150946634E7,1093976,239446,33156760
279,65478488,7.872415419808744E7,1093976,446,33395698
280,65716488,7.903970407489018E7,817644,240018,33534008
281,65955488,7.935662666106209E7,817644,1018,33772946
