iteration,price,units_sold_cum,revenue_cum
1,0.8018013375000025,520,375.2430259500012
2,0.9831235158896756,520,375.2430259500012
3,1.0775733193356118,520,375.2430259500012
4,1.229126079758675,520,375.2430259500012
5,1.3444484864719544,520,375.2430259500012
6,1.3350367485862569,610,483.38100258548803
7,1.42922241366168,610,483.38100258548803
8,1.4608711894724902,700,601.7115689327597
9,1.4780178818045373,700,601.7115689327597
10,1.3989186396978854,780,702.4337109910075
11,1.3058787684617903,780,702.4337109910075
12,1.3279373534153973,970,929.5109984250405
13,1.3330589969695021,970,929.5109984250405
14,1.0059469783978001,1040,992.8856580641019
15,1.11160894432576,1040,992.8856580641019
16,1.306556224583368,1240,1228.0657784891082
17,1.3676819170991126,1240,1228.0657784891082
18,1.3440473709397236,1250,1240.1622048275658
19,1.3741176526355514,1250,1240.1622048275658
20,1.487080618003798,1430,1481.0692649441812
21,1.4980104287080642,1430,1481.0692649441812
22,1.4234515460898287,1430,1481.0692649441812
23,1.3272598314154593,1430,1481.0692649441812
24,1.3118348223208856,1670,1764.4255865654925
25,1.3345011250955376,1670,1764.4255865654925
26,1.0184270930021753,1690,1782.7572742395316
27,1.0858644730339218,1710,1802.3028347541422
28,1.2228727614313681,1900,2011.4140769589062
29,1.287556118528333,1900,2011.4140769589062
30,1.2879194164840138,1980,2104.144274945755
31,1.3546122117710035,1980,2104.144274945755
32,1.3991856643371907,2100,2255.2563266941715
33,1.4606685925900025,2100,2255.2563266941715
34,1.3817099508470942,2180,2354.7394431551625
35,1.3047599778430419,2180,2354.7394431551625
36,1.3065789534342824,2300,2495.849970126065
37,1.3263842004166264,2300,2495.849970126065
38,1.0221203406676995,2400,2587.8408007861576
39,1.1205269161201392,2420,2608.0102852763202
40,1.263209121606185,2500,2698.9613420319656
41,1.3163773605880564,2550,2758.198323258428
42,1.3322821277105126,2600,2818.151019005401
43,1.3743757368223342,2650,2879.997927162406
44,1.4200594866748586,2700,2943.9006040627746
45,1.4642601831343434,2750,3009.79231230382
46,1.4031863529583244,2800,3072.9356981869446
47,1.3093546597376817,2850,3131.85665787514
48,1.2936438857886237,2900,3190.0706327356284
49,1.2918011458260026,2950,3248.2016842977987
50,0.9936552979127564,3000,3292.9161727038727
51,1.077792904623531,3050,3341.4168534119317
52,1.260317517451242,3100,3398.1311416972376
53,1.324239778235877,3150,3457.721931717852
54,1.3254245940358955,3200,3517.3660384494674
55,1.3926619321699911,3250,3580.035825397117
56,1.4386691443584283,3300,3644.7759368932466
57,1.4649644147169683,3350,3710.69933555551
58,1.399453386700385,3400,3773.6747379570274
59,1.2967530199864352,3450,3832.028623856417
60,1.3093001802585464,3500,3890.947131968052
61,1.384047025056667,3550,3953.229248095602
