iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,88,122.54972752264013,1068,274,1080
2,183,239.14931385981623,1068,179,1180
3,373,467.7516153669574,863,194,1280
4,467,586.8943585798786,675,288,1380
5,645,830.8511559168603,675,110,1480
6,727,949.5174793260142,619,264,1490
7,887,1194.0678797844853,619,104,1590
8,963,1315.4667831843603,579,248,1600
9,1105,1549.641625736372,579,106,1700
10,1174,1663.7845694144219,541,235,1720
11,1309,1881.9378708834704,541,100,1820
12,1387,2005.815760321928,689,254,1730
13,1541,2248.0014256928944,689,100,1830
14,1622,2365.430051768055,589,259,1860
15,1781,2584.7244219885483,589,100,1960
16,1866,2704.449626456482,737,267,1860
17,2028,2942.6570049868333,737,105,1960
18,2108,3063.615166407145,524,258,2050
19,2266,3308.124492702777,524,100,2150
20,2340,3427.319140944813,666,244,2070
21,2478,3656.9984713114745,666,106,2170
22,2543,3765.799055629915,478,229,2270
23,2672,3977.1056731203066,478,100,2370
24,2748,4098.591553602984,732,250,2230
25,2898,4335.293062521516,732,100,2330
26,2979,4453.300130011033,532,259,2410
27,3138,4672.013108413357,572,100,2490
28,3227,4794.346291972851,690,273,2400
29,3397,5034.472670580523,690,103,2500
30,3479,5153.128313061558,607,264,2520
31,3639,5392.139882738742,607,104,2620
32,3718,5514.166373301513,615,257,2600
33,3868,5754.545558416347,615,107,2700
34,3942,5874.1913656198585,562,246,2720
35,4088,6106.507695736599,562,100,2820
36,4166,6228.649301870897,572,252,2800
37,4318,6465.041683332438,572,100,2900
38,4400,6583.463498403137,528,262,2900
39,4562,6807.153714023755,568,100,2980
40,4650,6929.993957761183,466,274,3000
41,4816,7169.164546737273,566,108,3050
42,4897,7289.345688741304,432,261,3100
43,5057,7533.843327778124,532,101,3150
44,5135,7656.729432001261,401,254,3200
45,5281,7893.931027406012,501,108,3250
46,5353,8011.875092068758,393,244,3300
47,5497,8243.36034785052,493,100,3350
48,5575,8365.963268444715,359,256,3400
49,5731,8607.009607645352,459,100,3450
50,5814,8725.20039216931,311,265,3500
51,5979,8947.899959113984,411,100,3550
52,6068,9069.913454034271,247,275,3600
53,6234,9306.842505876226,347,109,3650
54,6315,9426.249469542174,212,263,3700
55,6475,9670.826687953611,312,103,3750
56,6553,9794.404736171118,183,254,3800
57,6699,10032.793445846659,283,108,3850
58,6771,10151.042601349096,177,242,3900
59,6913,10378.997243914904,277,100,3950
60,6991,10501.805388219465,160,239,4000
61,7069,10625.06566102963,245,176,4050
