iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,4,10.26914269383854,240,146,550
2,5,13.458759009549963,240,145,600
3,7,20.588277242971426,240,143,650
4,7,20.588277242971426,240,143,700
5,7,20.588277242971426,240,143,750
6,7,20.588277242971426,240,143,800
7,7,20.588277242971426,240,143,850
8,7,20.588277242971426,240,143,900
9,7,20.588277242971426,240,143,950
10,7,20.588277242971426,240,143,1000
11,7,20.588277242971426,240,143,1050
12,7,20.588277242971426,240,143,1100
13,7,20.588277242971426,240,143,1150
14,7,20.588277242971426,240,143,1200
15,7,20.588277242971426,240,143,1250
16,7,20.588277242971426,240,143,1300
17,7,20.588277242971426,240,143,1350
18,7,20.588277242971426,240,143,1400
19,7,20.588277242971426,240,143,1450
20,7,20.588277242971426,240,143,1500
21,7,20.588277242971426,240,143,1550
22,7,20.588277242971426,240,143,1600
23,7,20.588277242971426,240,143,1650
24,7,20.588277242971426,240,143,1700
25,7,20.588277242971426,240,143,1750
26,7,20.588277242971426,240,143,1800
27,7,20.588277242971426,240,143,1850
28,7,20.588277242971426,240,143,1900
29,7,20.588277242971426,240,143,1950
30,7,20.588277242971426,240,143,2000
31,7,20.588277242971426,240,143,2050
32,7,20.588277242971426,240,143,2100
33,7,20.588277242971426,240,143,2150
34,7,20.588277242971426,240,143,2200
35,7,20.588277242971426,240,143,2250
36,7,20.588277242971426,240,143,2300
37,7,20.588277242971426,240,143,2350
38,7,20.588277242971426,240,143,2400
39,7,20.588277242971426,240,143,2450
40,7,20.588277242971426,240,143,2500
41,7,20.588277242971426,240,143,2550
42,7,20.588277242971426,240,143,2600
43,7,20.588277242971426,240,143,2650
44,7,20.588277242971426,240,143,2700
45,7,20.588277242971426,240,143,2750
46,7,20.588277242971426,240,143,2800
47,7,20.588277242971426,240,143,2850
48,7,20.588277242971426,240,143,2900
49,7,20.588277242971426,240,143,2950
50,7,20.588277242971426,240,143,3000
51,7,20.588277242971426,240,143,3050
52,7,20.588277242971426,240,143,3100
53,7,20.588277242971426,240,143,3150
54,7,20.588277242971426,240,143,3200
55,7,20.588277242971426,240,143,3250
56,7,20.588277242971426,240,143,3300
57,7,20.588277242971426,240,143,3350
58,7,20.588277242971426,240,143,3400
59,7,20.588277242971426,240,143,3450
60,7,20.588277242971426,240,143,3500
