iteration,price,units_sold_cum,revenue_cum
1,0.691197674014998,50,31.10389533067491
2,0.8501330567621621,200,145.87185799356678
3,0.8647686475202317,200,145.87185799356678
4,0.8706213202559673,300,224.22777681660384
5,0.9129885509385617,300,224.22777681660384
6,0.9366761617732638,440,342.2489732000351
7,0.9442256258636403,440,342.2489732000351
8,0.9187271040065432,540,424.93441256062397
9,0.9009870027770845,540,424.93441256062397
10,0.9158536256670251,680,540.3319693946692
11,0.9147900138958479,680,540.3319693946692
12,0.8933790881802404,780,620.7360873308908
13,0.9208987328814743,780,620.7360873308908
14,0.8601429194017807,930,736.8553814501312
15,0.8381737731811278,930,736.8553814501312
16,0.8363661977079775,1020,804.6010434644774
17,0.894097432188781,1020,804.6010434644774
18,0.9144643911156709,1170,928.053736265093
19,0.9196813279350916,1170,928.053736265093
20,0.9129675050291666,1250,993.787396627193
21,0.9140457173101861,1250,993.787396627193
22,0.9472837676142867,1420,1138.7218130721787
23,0.9584350981819042,1420,1138.7218130721787
24,0.9616483131114205,1470,1181.9959871621927
25,0.9410983563943107,1470,1181.9959871621927
26,0.8554913930056327,1680,1343.6838604402574
27,0.8679316127702359,1680,1343.6838604402574
28,0.8458884706159165,1710,1366.5228491468872
29,0.8908888383695716,1710,1366.5228491468872
30,0.8985001588757421,1920,1536.3393791744024
31,0.945584491447798,1920,1536.3393791744024
32,0.9170738698781757,1950,1561.1003736611133
33,0.9107044923288006,1950,1561.1003736611133
34,0.9043475331439906,2160,1732.0220574253276
35,0.9038563185958296,2160,1732.0220574253276
36,0.9295944758598774,2180,1748.7547579908055
37,0.9283525470011507,2180,1748.7547579908055
38,0.8501315820653313,2400,1917.080811239741
39,0.8439254078754378,2400,1917.080811239741
40,0.8380364890997704,2440,1947.2501248473327
41,0.8970724530117536,2440,1947.2501248473327
42,0.9340919780630682,2600,2081.7593696884146
43,0.9102173545168268,2600,2081.7593696884146
44,0.9014721961397427,2700,2162.8918673409917
45,0.8870339294069745,2700,2162.8918673409917
46,0.8885504559144357,2800,2242.861408373291
47,0.8916147659819275,2800,2242.861408373291
48,0.9168332071092059,2900,2325.3763970131195
49,0.940075343028281,2900,2325.3763970131195
50,0.8682531816338597,3000,2403.5191833601666
51,0.8829676396186202,3040,2435.306018386437
52,0.8562221664138484,3100,2481.5420153727846
53,0.8968932642104169,3150,2521.902212262253
54,0.9025349102065682,3200,2562.5162832215487
55,0.9375347495890728,3250,2604.705346953057
56,0.9092989627984486,3300,2645.6238002789873
57,0.877309570127143,3350,2685.1027309347087
58,0.9038911643592242,3400,2725.777833330874
59,0.9223926741036502,3450,2767.2855036655383
60,0.9333581644410375,3500,2809.286621065385
