iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,66,88.14771361208398,340,84,500
2,144,176.67784605284328,494,152,400
3,296,338.19164620365035,494,0,450
4,377,422.4009318433602,454,159,400
5,536,589.1171526792001,454,0,450
6,617,675.7534521184898,494,159,360
7,776,848.9746703702574,494,0,410
8,857,937.5898864177011,454,159,360
9,1016,1110.555962196402,454,0,410
10,1097,1198.575461783222,494,159,320
11,1256,1371.3223171556413,494,0,370
12,1337,1458.711645608439,454,159,320
13,1496,1630.7352091693324,454,0,370
14,1577,1716.9594743620935,512,161,270
15,1738,1884.4623742985825,512,0,320
16,1820,1968.228089087825,448,162,280
17,1982,2135.0812826144593,448,0,330
18,2063,2220.0155071935174,506,161,230
19,2224,2391.5604331904538,506,0,280
20,2305,2478.6041894910913,428,157,250
21,2462,2648.135843844686,428,0,300
22,2543,2736.7924975332558,526,161,180
23,2701,2912.2825141923154,526,3,230
24,2779,2999.9118340131017,395,156,230
25,2935,3175.314447740047,395,0,280
26,3016,3263.7781704602808,571,163,120
27,3178,3436.694691676683,571,1,170
28,3259,3521.233828405145,390,161,190
29,3420,3689.2146816195386,390,0,240
30,3501,3774.306011908342,570,159,80
31,3660,3945.0392055712778,570,0,130
32,3741,4032.774953422658,390,159,150
33,3900,4205.235573783668,390,0,200
34,3981,4292.867057987744,570,159,40
35,4140,4464.409924329071,570,0,90
36,4221,4552.370318543741,372,157,120
37,4378,4723.88110177207,372,0,170
38,4459,4810.468771030062,572,159,0
39,4618,4976.524420701818,572,0,50
40,4700,5060.559425374064,406,164,60
41,4862,5227.934100727435,406,2,110
42,4943,5313.616407987549,488,159,0
43,5102,5483.713288240238,488,0,50
44,5183,5570.5887016435645,448,159,0
45,5342,5740.315306503632,448,0,50
46,5423,5826.409300938442,406,161,0
47,5584,5997.210796759415,406,0,50
48,5665,6083.7975742332155,364,161,0
49,5826,6258.473298429698,364,0,50
50,5907,6345.313323045875,320,163,0
51,6069,6517.452960053567,400,1,10
52,6150,6602.265555772695,279,161,0
53,6311,6771.234550819007,379,0,0
54,6392,6856.835091836469,237,161,0
55,6553,7029.967268481542,337,0,0
56,6634,7117.4905557564825,193,163,0
57,6796,7290.844013683988,293,1,0
58,6877,7377.442303985566,152,161,0
59,7038,7550.827608929193,252,0,0
60,7119,7638.960512239813,114,157,0
