iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,41,55.144999999999996,240,109,534
2,91,109.77,126,173,568
3,189,204.4625,126,75,602
4,198,215.86274140009743,120,72,636
5,206,231.52511248612046,120,64,670
6,209,237.49600365214698,120,61,704
7,213,246.04592900243404,120,57,738
8,214,248.28258650645228,120,56,772
9,218,257.035123014517,120,52,806
10,220,261.23680724995876,120,50,840
11,226,273.5300333154878,120,44,874
12,228,277.69804495543787,120,42,908
13,232,286.4813552753616,120,38,942
14,234,290.8717230895607,120,36,976
15,238,299.52084551932495,120,32,1010
16,240,303.6746166433915,120,30,1044
17,246,315.6026570068438,120,24,1078
18,249,321.6290318400516,120,21,1112
19,253,330.1813992850484,120,17,1146
20,254,332.41347048912013,120,16,1180
21,258,341.2364042144177,120,12,1214
22,260,345.4925693588942,120,10,1248
23,264,353.8636354001256,120,6,1282
24,266,358.15167418664805,120,4,1316
25,266,358.15167418664805,120,4,1350
26,266,358.15167418664805,120,4,1384
27,268,362.6167005446631,120,2,1418
28,270,366.90992539525195,120,0,1452
29,270,366.90992539525195,120,0,1486
30,270,366.90992539525195,120,0,1520
31,270,366.90992539525195,120,0,1554
32,270,366.90992539525195,120,0,1588
33,270,366.90992539525195,120,0,1622
34,270,366.90992539525195,120,0,1656
35,270,366.90992539525195,120,0,1690
36,270,366.90992539525195,120,0,1724
37,270,366.90992539525195,120,0,1758
38,270,366.90992539525195,120,0,1792
39,270,366.90992539525195,120,0,1826
40,270,366.90992539525195,120,0,1860
41,270,366.90992539525195,120,0,1894
42,270,366.90992539525195,120,0,1928
43,270,366.90992539525195,120,0,1962
44,270,366.90992539525195,120,0,1996
45,270,366.90992539525195,120,0,2030
46,270,366.90992539525195,120,0,2064
47,270,366.90992539525195,120,0,2098
48,270,366.90992539525195,120,0,2132
49,270,366.90992539525195,120,0,2166
50,270,366.90992539525195,120,0,2200
51,270,366.90992539525195,120,0,2234
52,270,366.90992539525195,120,0,2268
53,270,366.90992539525195,120,0,2302
54,270,366.90992539525195,120,0,2336
55,270,366.90992539525195,120,0,2370
56,270,366.90992539525195,120,0,2404
57,270,366.90992539525195,120,0,2438
58,270,366.90992539525195,120,0,2472
59,270,366.90992539525195,120,0,2506
60,270,366.90992539525195,120,0,2540
61,270,366.90992539525195,120,0,2574
