iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,32,45.39944297542499,240,118,1100
2,72,96.86499705048185,240,78,1200
3,156,200.31372494869072,304,50,1240
4,200,253.30478574671164,292,78,1310
5,290,357.61612411649617,276,4,1410
6,335,410.14502030772593,306,89,1430
7,419,511.50071846737575,306,5,1530
8,461,563.7099257590288,189,80,1630
9,545,669.2006395377065,242,23,1690
10,587,721.4371417967258,221,82,1750
11,668,821.6323217087262,221,1,1850
12,710,874.3162843242579,258,82,1870
13,794,980.0166452394299,278,38,1940
14,836,1033.489994173564,192,82,2040
15,918,1133.3844036779697,192,0,2140
16,963,1187.2323699538897,320,87,2110
17,1050,1285.977674582526,320,0,2210
18,1097,1340.3856160395242,282,91,2260
19,1181,1440.2845203494983,282,7,2360
20,1223,1491.6758946512743,223,84,2430
21,1307,1595.0889828606369,279,24,2490
22,1351,1648.8935406981782,213,86,2570
23,1437,1753.684734214618,213,0,2670
24,1479,1805.7056300306929,251,80,2690
25,1549,1896.6371847041034,251,10,2790
26,1591,1950.447639024663,237,82,2840
27,1675,2057.141317564674,318,37,2880
28,1719,2110.278719777846,245,86,2970
29,1805,2209.653377891999,285,0,3050
30,1852,2264.257323229939,305,93,3070
31,1940,2369.3613602799105,305,5,3170
32,1982,2421.172366248104,206,82,3260
33,2066,2524.863262866154,239,25,3330
34,2110,2579.0727764461,236,84,3380
35,2194,2681.508405108057,236,0,3480
36,2238,2735.3103482155984,266,86,3500
37,2312,2829.226527645829,266,12,3600
38,2354,2882.6309044542854,196,80,3680
39,2434,2981.263801202911,216,0,3770
40,2478,3034.850003002722,286,86,3770
41,2564,3134.8325271496165,286,0,3870
42,2611,3189.721598795742,248,91,3920
43,2699,3294.8694712135143,248,3,4020
44,2741,3346.749468734174,247,82,4060
45,2825,3450.771541337335,318,27,4110
46,2870,3505.0974481148596,275,85,4180
47,2955,3607.5269493470664,275,0,4280
48,3000,3662.193929491895,263,87,4320
49,3079,3761.882682818112,263,8,4420
50,3121,3813.8155415627416,207,82,4490
51,3205,3918.689670180885,272,33,4540
52,3250,3972.7098902281714,233,87,4610
53,3337,4070.634357895388,233,0,4710
54,3384,4124.579148184249,373,93,4670
55,3472,4228.134256069931,373,5,4770
56,3514,4279.386175001463,256,80,4870
57,3598,4383.430428011387,326,26,4920
58,3642,4437.66522293142,224,84,5020
59,3724,4538.039254202813,244,2,5110
60,3769,4592.817705114189,272,89,5130
61,3811,4644.895049170783,272,47,5230
