iteration,total_items_bought,consumer_spending,wholesaler_stock,retailer_stock,remaining_items
1,0,0.0,240,150,1000
2,41,25.18086054318036,240,109,1500
3,239,108.19032953299391,919,96,1520
4,339,140.2466039377796,719,196,2020
5,535,192.91251448484167,719,0,2520
6,635,216.81623701163923,459,196,3000
7,831,260.2167748208559,459,0,3500
8,931,281.2285761100825,793,196,3650
9,1127,321.1187192074944,793,0,4150
10,1227,340.6644149063537,493,200,4650
11,1427,378.30251727368864,493,0,5150
12,1527,396.71610514105623,767,202,5330
13,1727,433.35037044486404,767,2,5830
14,1827,453.1092173514889,473,196,6330
15,2023,495.45045868966906,473,0,6830
16,2123,517.7061401105294,787,198,6990
17,2321,561.7222488716736,787,0,7490
18,2421,583.3907688840011,487,200,7990
19,2621,625.7095295471152,487,0,8490
20,2721,646.439746691163,749,196,8680
21,2917,686.4221477874254,749,0,9180
22,3017,706.2233013244646,453,196,9680
23,3213,743.620087953842,453,0,10180
24,3313,762.3046370930978,787,196,10330
25,3509,798.9076321020119,787,0,10830
26,3609,818.858532365061,491,196,11330
27,3805,860.539128827887,491,0,11830
28,3905,882.4293966672208,751,198,12020
29,4103,925.8918188261255,751,0,12520
30,4203,947.4642038153704,455,196,13020
31,4399,989.1005634938363,455,0,13520
32,4499,1009.8591040982128,789,196,13670
33,4695,1049.8120670545925,789,0,14170
34,4795,1069.4725511891045,493,196,14670
35,4991,1106.8768407059217,493,0,15170
36,5091,1125.449346894464,769,200,15350
37,5291,1162.210666373313,769,0,15850
38,5391,1181.7852549972795,473,196,16350
39,5587,1222.9876705159318,473,0,16850
40,5687,1244.5166510308948,771,196,17020
41,5883,1286.5143353852654,771,0,17520
42,5983,1307.6498298258516,475,196,18020
43,6179,1348.2830614371321,475,0,18520
44,6279,1368.6009787383516,773,196,18690
45,6475,1407.7882971838858,773,0,19190
46,6575,1427.1335335553451,477,196,19690
47,6771,1464.1333480500582,477,0,20190
48,6871,1482.7596081944223,789,200,20350
49,7071,1520.1819662109447,789,0,20850
50,7171,1540.287841938365,489,200,21350
51,7371,1583.7168685495142,489,0,21850
52,7471,1605.8907225894477,765,200,22030
53,7671,1649.9164732013417,765,0,22530
54,7771,1671.4174371310535,467,198,23030
55,7969,1712.9653734533556,467,0,23530
56,8069,1733.5073503723513,781,198,23690
57,8267,1773.250304912054,781,0,24190
58,8367,1792.6637518998327,483,198,24690
59,8565,1830.0270704436916,483,0,25190
60,8665,1848.5343872045964,763,196,25370
61,8765,1867.2145745300572,763,96,25870
