Iteration,Red Delicious
1,1.085679615
2,1.357281047
3,1.330938713
4,1.397187292
5,1.426915318
6,1.343621486
7,1.309621301
8,1.28603552
9,1.317536149
10,1.30779768
11,1.315643071
12,1.263293718
13,1.203690812
14,1.31683519
15,1.329345283
16,1.344294597
17,1.380216019
18,1.313671021
19,1.297598797
20,1.273394323
21,1.30533411
22,1.310509201
23,1.322371089
24,1.263179972
25,1.219547277
26,1.365392291
27,1.371418053
28,1.395130065
29,1.436616353
30,1.353710477
31,1.314318259
32,1.273532117
33,1.288313386
34,1.265979162
35,1.275295215
36,1.267165867
37,1.237668162
38,1.355145481
39,1.353443204
40,1.393958963
41,1.373131662
42,1.28422571
43,1.29776226
44,1.29756007
45,1.282663026
46,1.28835649
47,1.345501342
48,1.280825833
49,1.261796426
50,1.384219849
51,1.381567337
52,1.436440239
53,1.419184351
54,1.329006667
55,1.316338572
56,1.297021729
57,1.291570497
58,1.307044218
59,1.337564921
60,1.306990753
