Iteration,Red Delicious,Fuji,Honeycrisp
1,1.085679615,1.206451576,1.695752963
2,1.353163893,1.494971972,2.085221012
3,1.350325514,1.537694089,2.309153037
4,1.410447185,1.561743911,2.426237719
5,1.412102111,1.544660557,2.512041643
6,1.343743922,1.532085955,2.479106412
7,1.303866382,1.383854794,2.418678759
8,1.269211985,1.333983264,2.417193461
9,1.278771396,1.336276497,2.357229937
10,1.335525856,1.369384988,1.974407779
11,1.338553485,1.340605833,1.855765752
12,1.292409423,1.370634086,1.670841491
13,1.233000086,1.347880496,1.508211907
14,1.354118447,1.50527154,2.104257597
15,1.356657441,1.545183248,2.33885974
16,1.407574954,1.566368562,2.445946301
17,1.390334882,1.515738091,2.404392533
18,1.337688559,1.475896159,2.392763258
19,1.32398671,1.394680687,2.363984746
20,1.282541272,1.326380413,2.400330154
21,1.306642045,1.30322713,2.437742288
22,1.322770449,1.388234596,2.005218074
23,1.352763479,1.41069007,1.869543377
24,1.318995915,1.374555223,1.63212446
25,1.269275219,1.348294737,1.495080053
26,1.374680521,1.503438479,2.156525891
27,1.36253165,1.606573487,2.321442555
28,1.375703143,1.516179566,2.424024696
29,1.424167846,1.469028137,2.429848591
30,1.340676785,1.476922691,2.362315117
31,1.353589676,1.389939803,2.381395301
32,1.335858848,1.336060558,2.363863644
33,1.326360232,1.326881059,2.293494174
34,1.318635757,1.384426022,1.947223658
35,1.350043059,1.407108951,1.8397563
36,1.302487823,1.348939857,1.648999438
37,1.277493027,1.304752778,1.526801603
38,1.39180112,1.440797378,2.145772361
39,1.406917572,1.519543705,2.363473379
40,1.452579426,1.501787117,2.431172793
41,1.408098918,1.512193046,2.451867104
42,1.354307955,1.474723106,2.423717721
43,1.323622754,1.35555224,2.359435175
44,1.268007975,1.341021215,2.406051995
45,1.281034879,1.312904213,2.3859324
46,1.302266999,1.388072543,1.98034957
47,1.303825729,1.377047069,1.800246695
48,1.249239701,1.35384383,1.601728182
49,1.236196723,1.33975829,1.485539898
50,1.353688637,1.524845727,2.14386831
51,1.382268598,1.583731128,2.310394729
52,1.399454796,1.588287256,2.375027011
53,1.372885535,1.539493732,2.448580638
54,1.327343549,1.520111036,2.425664392
55,1.289663828,1.417877306,2.300726152
56,1.268174153,1.363316175,2.343564117
57,1.304598084,1.330679318,2.323924024
58,1.307305744,1.360953306,1.973069053
59,1.343378,1.374633297,1.884148242
60,1.338706965,1.365618659,1.594992027
61,1.235174368,1.330933955,1.456207465
