Iteration,Bull,Heifers,Steers
1,0.801801338,1.418848802,1.478360281
2,0.983123516,1.789190356,1.832191361
3,1.077573319,1.860679225,1.857341621
4,1.22912608,1.877078913,1.944242618
5,1.344448486,2.050061784,2.083923003
6,1.335036749,2.031023093,2.149641873
7,1.429222414,2.124737136,2.211093976
8,1.460871189,2.045111755,2.186058979
9,1.478017882,1.983801858,2.015944956
10,1.39891864,1.947436821,1.998489761
11,1.305878768,2.027710059,1.947453615
12,1.327937353,2.01594503,1.998884049
13,1.333058997,1.864132994,1.907225139
14,1.005946978,1.795577095,1.851695029
15,1.111608944,1.853933377,1.841252236
16,1.306556225,1.858303944,1.93201048
17,1.367681917,2.015306234,2.040269223
18,1.344047371,2.076229197,2.097289408
19,1.374117653,2.118823215,2.151107104
20,1.487080618,2.059053301,2.103800931
21,1.498010429,1.965761188,2.063309205
22,1.423451546,1.949476158,2.018761166
23,1.327259831,2.042278757,1.929464418
24,1.311834822,2.076125821,1.964062868
25,1.334501125,1.857960384,1.8826268
26,1.018427093,1.846004162,1.819674746
27,1.085864473,1.849175376,1.802040761
28,1.222872761,1.888476321,1.899437517
29,1.287556119,1.97577007,2.029734345
30,1.287919416,2.041808062,2.048814934
31,1.354612212,2.065717882,2.162716838
32,1.399185664,2.04070716,2.107701796
33,1.460668593,1.986044264,1.98504305
34,1.381709951,2.021057665,2.001171371
35,1.304759978,2.04982195,1.939902323
36,1.306578953,2.035875138,2.015676577
37,1.3263842,1.835244845,1.875927367
38,1.022120341,1.796138297,1.878404053
39,1.120526916,1.849172305,1.844142129
40,1.263209122,1.900205963,1.97090942
41,1.316377361,2.029153991,2.087554798
42,1.332282128,2.088769826,2.087572683
43,1.374375737,2.069910049,2.188281324
44,1.420059487,2.049574765,2.097199248
45,1.464260183,2.011996355,2.071863049
46,1.403186353,1.942400425,2.043150547
47,1.30935466,1.993987284,1.961211299
48,1.293643886,1.992066362,2.032804904
49,1.291801146,1.875264652,1.881282533
50,0.993655298,1.748720403,1.79866141
51,1.077792905,1.823986703,1.807268311
52,1.260317517,1.824123312,1.905060345
53,1.324239778,1.974042633,2.034794065
54,1.325424594,2.047114436,2.108447558
55,1.392661932,2.086319045,2.181643859
56,1.438669144,2.024353495,2.081189142
57,1.464964415,1.978724882,1.992759687
58,1.399453387,1.949535548,2.015446737
59,1.29675302,1.939519173,1.944819309
60,1.30930018,1.978699973,2.023159985
61,1.384047025,1.806748407,1.931073033
