Iteration,Milk
1,0.691197674
2,0.876163868
3,0.847054971
4,0.867497477
5,0.896835403
6,0.932461878
7,0.931862451
8,0.931620948
9,0.93373569
10,0.902822171
11,0.923144035
12,0.904432231
13,0.921616599
14,0.874900439
15,0.856791181
16,0.84510611
17,0.887307336
18,0.910496042
19,0.926268117
20,0.891036628
21,0.889257578
22,0.898634515
23,0.892118825
24,0.892254306
25,0.916977938
26,0.845405071
27,0.866368493
28,0.867233813
29,0.89176776
30,0.926445272
31,0.943878452
32,0.907058719
33,0.884705276
34,0.876160809
35,0.913518418
36,0.902030011
37,0.913682119
38,0.849706249
39,0.850919139
40,0.857908518
41,0.901499318
42,0.924754021
43,0.931932704
44,0.913457205
45,0.928184273
46,0.91507529
47,0.915737721
48,0.923620707
49,0.952749035
50,0.857223544
51,0.861624002
52,0.863679962
53,0.926060144
54,0.964917946
55,0.943087587
56,0.928387178
57,0.902668811
58,0.914501635
59,0.919568932
60,0.923584484
