Iteration,Milk
1,0.691197674
2,0.850133057
3,0.864768648
4,0.87062132
5,0.912988551
6,0.936676162
7,0.944225626
8,0.918727104
9,0.900987003
10,0.915853626
11,0.914790014
12,0.893379088
13,0.920898733
14,0.860142919
15,0.838173773
16,0.836366198
17,0.894097432
18,0.914464391
19,0.919681328
20,0.912967505
21,0.914045717
22,0.947283768
23,0.958435098
24,0.961648313
25,0.941098356
26,0.855491393
27,0.867931613
28,0.845888471
29,0.890888838
30,0.898500159
31,0.945584491
32,0.91707387
33,0.910704492
34,0.904347533
35,0.903856319
36,0.929594476
37,0.928352547
38,0.850131582
39,0.843925408
40,0.838036489
41,0.897072453
42,0.934091978
43,0.910217355
44,0.901472196
45,0.887033929
46,0.888550456
47,0.891614766
48,0.916833207
49,0.940075343
50,0.868253182
51,0.88296764
52,0.856222166
53,0.896893264
54,0.90253491
55,0.93753475
56,0.909298963
57,0.87730957
58,0.903891164
59,0.922392674
60,0.933358164
