Iteration,Vine Ripes
1,0.737107589
2,0.930330363
3,0.889720879
4,0.813396908
5,0.789332361
6,0.879694727
7,1.035035445
8,0.997451896
9,0.845452639
10,0.812083199
11,0.835774313
12,0.926192948
13,1.024125343
14,0.891891483
15,0.877918921
16,0.799480635
17,0.773380812
18,0.890800602
19,1.021016774
20,0.995436099
21,0.876105106
22,0.82679114
23,0.867899665
24,0.96260669
25,1.044689088
26,0.919518074
27,0.915486994
28,0.825905754
29,0.779424557
30,0.888636654
31,1.032836927
32,1.014240939
33,0.872861685
34,0.818794791
35,0.836444572
36,0.926331343
37,1.052742675
38,0.94503758
39,0.900230217
40,0.829813259
41,0.764045618
42,0.90650706
43,1.032776704
44,1.019555875
45,0.890030623
46,0.813797382
47,0.848907901
48,0.918367241
49,1.0244555
50,0.895447805
51,0.865273328
52,0.823532551
53,0.781297775
54,0.910486314
55,1.04551232
56,1.04203561
57,0.894132702
58,0.816955793
59,0.821903569
60,0.911480399
61,1.035298749
