Iteration,Wheat
1,0.124558542
2,0.153605128
3,0.157095597
4,0.148328714
5,0.143760054
6,0.137635267
7,0.134766639
8,0.131621266
9,0.131764736
10,0.121911414
11,0.118930366
12,0.120888461
13,0.123652386
14,0.156142426
15,0.167971683
16,0.151852841
17,0.14636991
18,0.137201664
19,0.13700974
20,0.135139817
21,0.134093488
22,0.125430553
23,0.119838201
24,0.122845926
25,0.127382758
26,0.154440233
27,0.158132429
28,0.151322076
29,0.145961825
30,0.139052573
31,0.139574362
32,0.133653895
33,0.133559739
34,0.122703568
35,0.122698505
36,0.119622086
37,0.12305653
38,0.1514365
39,0.158936987
40,0.146451666
41,0.140418308
42,0.138196174
43,0.13456282
44,0.132141406
45,0.131395115
46,0.121540808
47,0.122681248
48,0.123582417
49,0.128463213
50,0.1569263
51,0.165240425
52,0.14931464
53,0.143643307
54,0.137466823
55,0.135477301
56,0.133709183
57,0.129768379
58,0.122488508
59,0.121497205
60,0.121362055
61,0.130138604
